Amount,Frequency,Recency
-0.3538110199317708,-0.3860571670656389,2.118106846748478
-0.5242030225013674,-0.5908543320087088,-0.3355829459681156
-0.5457167818578322,-0.5250266718484363,-0.4825781870064369
-0.5565726690913054,-0.7225096523292538,2.3216387189553847
-0.5555622096304644,-0.7078812834047488,-0.1659730524623603
-0.5554399061798727,-0.7151954678670013,-0.1659730524623603
-0.286616921779304,-0.27634440013185146,-0.5278074919413049
-0.22572436331922907,0.1698208520655508,0.523773847794378
-0.037601272400753734,0.14787829867879332,-0.5165001657075879
-0.057836669499843764,-0.239773477820589,-0.4938855132401539
-0.5454430550874603,-0.6493678077067288,-0.4938855132401539
-0.38607001101879246,-0.049604681802024084,-0.41473422960413475
3.9673475206752102,1.66191448236506,-0.45996353453900285
-0.23398275822108802,-0.2032025555093265,-0.5278074919413049
-0.19488059787476808,-0.15931744873581152,-0.4938855132401539
-0.30630195335073085,-0.3860571670656389,0.27501267065260354
-0.33202935777877174,-0.283658584594104,-0.505192839473871
-0.053675440192806276,-0.18857418658482153,-0.4938855132401539
3.6841305849347967,1.4205463951107278,-0.5278074919413049
5.391862401507541,2.0934513656379576,-0.5278074919413049
0.6643389983619066,0.2868478034615908,-0.5278074919413049
-0.24673726092565146,-0.34217206029212394,-0.3468902722018326
-0.3161444691364445,-0.4299422738391539,-0.2903536410332475
-0.2970855147525703,-0.5250266718484363,0.2976273231200376
-0.1268012556989712,-0.04229049733977159,-0.30166096726696456
-0.45248078469008873,-0.23245929335833648,-0.5278074919413049
-0.5564707495491458,-0.7225096523292538,2.3555606976565353
-0.4490970558903848,-0.4006855359901439,-0.505192839473871
-0.481446318571891,-0.4738273806126689,-0.4938855132401539
0.7050485754874325,-0.34948624475437645,-0.5278074919413049
-0.47307726816711565,-0.5689117786219513,-0.2903536410332475
-0.25075580287366467,-0.269030215669599,-0.5278074919413049
-0.5560339515113182,-0.7298238367915063,2.242487435319365
-0.5281662366979224,-0.7151954678670013,2.796546420771499
-0.554094568223364,-0.7298238367915063,1.5301258825951929
-0.44686356192362675,-0.239773477820589,-0.4825781870064369
-0.5409352993370803,-0.6274252543199713,-0.40342690337041776
-0.503111501248136,-0.3860571670656389,-0.36950492466926665
-0.5336174762100099,-0.7078812834047488,1.7110431023346653
-0.5268587545713588,-0.7005670989424962,1.5301258825951929
-0.5203737597030795,-0.49576993399942637,-0.4825781870064369
-0.5396831449619747,-0.7225096523292538,1.7110431023346653
-0.49942492580887166,-0.6127968853954663,-0.4486562083052858
0.1212650859440338,0.4770165994801557,-0.5165001657075879
-0.5371351564079808,-0.5835401475464563,-0.35819759843554966
-0.5544614785751392,-0.7371380212537587,3.66721054076771
0.310375340427999,1.084093909847113,-0.505192839473871
-0.06917885854876477,0.24296269668807577,-0.45996353453900285
-0.5543013192946024,-0.7005670989424962,0.4559298903920759
-0.5543391751245474,-0.6932529144802437,-0.40342690337041776
-0.5172812295952607,-0.5981685164709614,-0.5278074919413049
-0.021725119719183023,0.3673038325463682,-0.5278074919413049
-0.5330583747215907,-0.6859387300179913,0.27501267065260354
-0.4767987874494061,-0.5542834096974464,-0.4486562083052858
-0.5544614785751392,-0.7371380212537587,3.633288562066559
-0.5514038923103465,-0.7298238367915063,3.4862933210282376
-0.5564998694183342,-0.7298238367915063,2.129414172982195
-0.5532966838075991,-0.7298238367915063,2.106799520514761
-0.556951227390756,-0.7151954678670013,2.129414172982195
-0.5549710762859379,-0.7298238367915063,3.0566149241469907
-0.5463515950061415,-0.7078812834047488,-0.1659730524623603
-0.5542256076347123,-0.7225096523292538,0.6142324576641142
-0.4913761939651698,-0.4445706427636589,-0.505192839473871
-0.48378755605464635,-0.3787429826033864,-0.4938855132401539
-0.4681152424573951,-0.39337135152789143,-0.5278074919413049
-0.382992040845568,-0.18126000212256901,-0.5278074919413049
-0.404482504306682,-0.14468907981130655,-0.505192839473871
-0.47989714153106267,-0.21051673997157902,-0.5165001657075879
-0.3031628314522107,0.49895915286691317,-0.5278074919413049
-0.4802029001575419,-0.15931744873581152,-0.5165001657075879
-0.5552331551086345,-0.7298238367915063,1.8580383433729866
-0.5527870860968003,-0.6932529144802437,-0.08682176882634114
-0.549391709349421,-0.6786245455557388,-0.4373488820715688
-0.5120600370497623,-0.4591990116881639,-0.5165001657075879
-0.4649411767158484,-0.5103983029239314,-0.23381700986466242
-0.5514388361533726,-0.7371380212537587,2.672165832200612
1.1335445386093106,0.806154900281518,-0.5165001657075879
-0.5428426507689271,-0.7298238367915063,1.54143320882891
-0.5394210661392782,-0.7005670989424962,1.7788870597369675
-0.486204505197292,-0.5615975941596988,-0.45996353453900285
-0.4344730575839194,-0.4811415650749214,-0.4373488820715688
-0.45724479528932754,-0.4226280893769014,-0.5165001657075879
-0.4508384240678572,-0.4079997204523964,-0.5165001657075879
-0.5423621729273168,-0.7151954678670013,3.5202152997293887
-0.4617001352751681,-0.4372564583014064,-0.5278074919413049
-0.48242474617662456,-0.6639961766312338,1.564047861296344
-0.5377670575693714,-0.6932529144802437,1.3265940103882865
-0.3702375381410045,-0.32754369136761896,-0.4938855132401539
-0.5567852441363815,-0.7371380212537587,2.988770966744689
-0.5173045254906115,-0.6054827009332138,-0.35819759843554966
-0.5452887197807612,-0.6932529144802437,0.4446225641583589
-0.5437599266483649,-0.6859387300179913,0.4446225641583589
-0.4955665431413952,-0.5103983029239314,-0.5278074919413049
-0.5361771127116791,-0.6493678077067288,-0.19989503116351134
-0.33611487542591856,-0.5469692252351939,-0.4825781870064369
-0.526229765396887,-0.6713103610934863,-0.35819759843554966
-0.5469631122591,-0.6493678077067288,1.1795987693499652
-0.5286059467226688,-0.5542834096974464,1.7901943859706844
-0.30233000319341974,-0.07886141965103408,-0.5278074919413049
-0.42829673332903834,-0.6493678077067288,1.0778328332465121
-0.43054187524347176,-0.4006855359901439,-0.4938855132401539
-0.5480987871574516,-0.7078812834047488,2.095492194281044
-0.47320248360462625,-0.5981685164709614,-0.19989503116351134
-0.5476911089888126,-0.5981685164709614,-0.13205107376120923
